"event","quarter","bin","time","resolution","realization","binL","binH","binValue","grpd_event_time_bin","pAgg","dataSet"
2011,2,3,2010.375,1,8.93333333333333,9.5,10,9.75,143,0.141383783783784,"PRUNEMP"
2011,2,4,2010.375,1,8.93333333333333,9,9.5,9.25,144,0.304410810810811,"PRUNEMP"
2011,2,5,2010.375,1,8.93333333333333,8.5,9,8.75,145,0.249913513513514,"PRUNEMP"
2011,2,6,2010.375,1,8.93333333333333,8,8.5,8.25,146,0.150291891891892,"PRUNEMP"
2011,2,7,2010.375,1,8.93333333333333,7.5,8,7.75,147,0.0508432432432432,"PRUNEMP"
2011,2,8,2010.375,1,8.93333333333333,7,7.5,7.25,148,0.0250054054054054,"PRUNEMP"
2011,2,9,2010.375,1,8.93333333333333,6,7,6.5,149,0.0241351351351351,"PRUNEMP"
2011,2,10,2010.375,1,8.93333333333333,-1000,6,5,150,0.0103675675675676,"PRUNEMP"
2011,3,1,2010.625,1,8.93333333333333,11,1000,12,151,0.0051545,"PRUNEMP"
2011,3,2,2010.625,1,8.93333333333333,10,11,10.5,152,0.046446375,"PRUNEMP"
2011,3,3,2010.625,1,8.93333333333333,9.5,10,9.75,153,0.18228315625,"PRUNEMP"
2011,3,4,2010.625,1,8.93333333333333,9,9.5,9.25,154,0.37738503125,"PRUNEMP"
2011,3,5,2010.625,1,8.93333333333333,8.5,9,8.75,155,0.24939740625,"PRUNEMP"
2011,3,6,2010.625,1,8.93333333333333,8,8.5,8.25,156,0.09460315625,"PRUNEMP"
2011,3,7,2010.625,1,8.93333333333333,7.5,8,7.75,157,0.03374721875,"PRUNEMP"
2011,3,8,2010.625,1,8.93333333333333,7,7.5,7.25,158,0.0090239375,"PRUNEMP"
2011,3,9,2010.625,1,8.93333333333333,6,7,6.5,159,0.0019271875,"PRUNEMP"
2011,3,10,2010.625,1,8.93333333333333,-1000,6,5,160,0,"PRUNEMP"
2011,4,1,2010.875,1,8.93333333333333,11,1000,12,161,0.00534,"PRUNEMP"
2011,4,2,2010.875,1,8.93333333333333,10,11,10.5,162,0.07648,"PRUNEMP"
2011,4,3,2010.875,1,8.93333333333333,9.5,10,9.75,163,0.25016,"PRUNEMP"
2011,4,4,2010.875,1,8.93333333333333,9,9.5,9.25,164,0.38506,"PRUNEMP"
2011,4,5,2010.875,1,8.93333333333333,8.5,9,8.75,165,0.1796375,"PRUNEMP"
2011,4,6,2010.875,1,8.93333333333333,8,8.5,8.25,166,0.0694575,"PRUNEMP"
2011,4,7,2010.875,1,8.93333333333333,7.5,8,7.75,167,0.0225175,"PRUNEMP"
2011,4,8,2010.875,1,8.93333333333333,7,7.5,7.25,168,0.0085575,"PRUNEMP"
2011,4,9,2010.875,1,8.93333333333333,6,7,6.5,169,0.0017775,"PRUNEMP"
2011,4,10,2010.875,1,8.93333333333333,-1000,6,5,170,0.001015,"PRUNEMP"
2011,1,1,2011.125,1,8.93333333333333,11,1000,12,171,0.0017948717948718,"PRUNEMP"
2011,1,2,2011.125,1,8.93333333333333,10,11,10.5,172,0.0246871794871795,"PRUNEMP"
2011,1,3,2011.125,1,8.93333333333333,9.5,10,9.75,173,0.188225641025641,"PRUNEMP"
2011,1,4,2011.125,1,8.93333333333333,9,9.5,9.25,174,0.38684,"PRUNEMP"
2011,1,5,2011.125,1,8.93333333333333,8.5,9,8.75,175,0.28665641025641,"PRUNEMP"
2011,1,6,2011.125,1,8.93333333333333,8,8.5,8.25,176,0.0816717948717949,"PRUNEMP"
2011,1,7,2011.125,1,8.93333333333333,7.5,8,7.75,177,0.0224290256410256,"PRUNEMP"
2011,1,8,2011.125,1,8.93333333333333,7,7.5,7.25,178,0.00564376923076923,"PRUNEMP"
2011,1,9,2011.125,1,8.93333333333333,6,7,6.5,179,0.00128207692307692,"PRUNEMP"
2011,1,10,2011.125,1,8.93333333333333,-1000,6,5,180,0.000769230769230769,"PRUNEMP"
2011,2,1,2011.375,1,8.93333333333333,11,1000,12,181,0.00189268292682927,"PRUNEMP"
2011,2,2,2011.375,1,8.93333333333333,10,11,10.5,182,0.00558780487804878,"PRUNEMP"
2011,2,3,2011.375,1,8.93333333333333,9.5,10,9.75,183,0.0344219512195122,"PRUNEMP"
2011,2,4,2011.375,1,8.93333333333333,9,9.5,9.25,184,0.184763414634146,"PRUNEMP"
2011,2,5,2011.375,1,8.93333333333333,8.5,9,8.75,185,0.507443902439024,"PRUNEMP"
2011,2,6,2011.375,1,8.93333333333333,8,8.5,8.25,186,0.213324390243902,"PRUNEMP"
2011,2,7,2011.375,1,8.93333333333333,7.5,8,7.75,187,0.0365390243902439,"PRUNEMP"
2011,2,8,2011.375,1,8.93333333333333,7,7.5,7.25,188,0.0101414634146341,"PRUNEMP"
2011,2,9,2011.375,1,8.93333333333333,6,7,6.5,189,0.00343170731707317,"PRUNEMP"
2011,2,10,2011.375,1,8.93333333333333,-1000,6,5,190,0.00245365853658537,"PRUNEMP"
2011,3,1,2011.625,1,8.93333333333333,11,1000,12,191,0.00387878787878788,"PRUNEMP"
2011,3,2,2011.625,1,8.93333333333333,10,11,10.5,192,0.0171515151515152,"PRUNEMP"
2011,3,3,2011.625,1,8.93333333333333,9.5,10,9.75,193,0.102260606060606,"PRUNEMP"
2011,3,4,2011.625,1,8.93333333333333,9,9.5,9.25,194,0.506527272727273,"PRUNEMP"
2011,3,5,2011.625,1,8.93333333333333,8.5,9,8.75,195,0.320181818181818,"PRUNEMP"
2011,3,6,2011.625,1,8.93333333333333,8,8.5,8.25,196,0.0390606060606061,"PRUNEMP"
2011,3,7,2011.625,1,8.93333333333333,7.5,8,7.75,197,0.00833333333333333,"PRUNEMP"
2011,3,8,2011.625,1,8.93333333333333,7,7.5,7.25,198,0.00148484848484848,"PRUNEMP"
2011,3,9,2011.625,1,8.93333333333333,6,7,6.5,199,0.000727272727272727,"PRUNEMP"
2011,3,10,2011.625,1,8.93333333333333,-1000,6,5,200,0.000424242424242424,"PRUNEMP"
2011,4,1,2011.875,1,8.93333333333333,11,1000,12,201,0.00126190476190476,"PRUNEMP"
2011,4,2,2011.875,1,8.93333333333333,10,11,10.5,202,0.0029047619047619,"PRUNEMP"
2011,4,3,2011.875,1,8.93333333333333,9.5,10,9.75,203,0.0502857142857143,"PRUNEMP"
2011,4,4,2011.875,1,8.93333333333333,9,9.5,9.25,204,0.740619047619048,"PRUNEMP"
2011,4,5,2011.875,1,8.93333333333333,8.5,9,8.75,205,0.190833333333333,"PRUNEMP"
2011,4,6,2011.875,1,8.93333333333333,8,8.5,8.25,206,0.0133571428571429,"PRUNEMP"
2011,4,7,2011.875,1,8.93333333333333,7.5,8,7.75,207,0.000535714285714286,"PRUNEMP"
2011,4,8,2011.875,1,8.93333333333333,7,7.5,7.25,208,0.000154761904761905,"PRUNEMP"
2011,4,9,2011.875,1,8.93333333333333,6,7,6.5,209,4.76190476190476e-05,"PRUNEMP"
2011,4,10,2011.875,1,8.93333333333333,-1000,6,5,210,0,"PRUNEMP"
2012,2,1,2009.375,1,8.075,11,1000,12,211,0.00438235294117647,"PRUNEMP"
2012,2,2,2009.375,1,8.075,10,11,10.5,212,0.0254120588235294,"PRUNEMP"
2012,2,3,2009.375,1,8.075,9.5,10,9.75,213,0.0324702941176471,"PRUNEMP"
2012,2,4,2009.375,1,8.075,9,9.5,9.25,214,0.0770588235294118,"PRUNEMP"
2012,2,5,2009.375,1,8.075,8.5,9,8.75,215,0.179558823529412,"PRUNEMP"
2012,2,6,2009.375,1,8.075,8,8.5,8.25,216,0.147705882352941,"PRUNEMP"
2012,2,7,2009.375,1,8.075,7.5,8,7.75,217,0.191264705882353,"PRUNEMP"
2012,2,8,2009.375,1,8.075,7,7.5,7.25,218,0.149411764705882,"PRUNEMP"
2012,2,9,2009.375,1,8.075,6,7,6.5,219,0.119647058823529,"PRUNEMP"
2012,2,10,2009.375,1,8.075,-1000,6,5,220,0.0730882352941176,"PRUNEMP"
2012,3,1,2009.625,1,8.075,11,1000,12,221,0.00318181818181818,"PRUNEMP"
2012,3,2,2009.625,1,8.075,10,11,10.5,222,0.0261818181818182,"PRUNEMP"
2012,3,3,2009.625,1,8.075,9.5,10,9.75,223,0.0404545454545455,"PRUNEMP"
2012,3,4,2009.625,1,8.075,9,9.5,9.25,224,0.0974090909090909,"PRUNEMP"
2012,3,5,2009.625,1,8.075,8.5,9,8.75,225,0.148727272727273,"PRUNEMP"
2012,3,6,2009.625,1,8.075,8,8.5,8.25,226,0.142636363636364,"PRUNEMP"
2012,3,7,2009.625,1,8.075,7.5,8,7.75,227,0.138454545454545,"PRUNEMP"
2012,3,8,2009.625,1,8.075,7,7.5,7.25,228,0.155454545454545,"PRUNEMP"
2012,3,9,2009.625,1,8.075,6,7,6.5,229,0.155727272727273,"PRUNEMP"
2012,3,10,2009.625,1,8.075,-1000,6,5,230,0.0918181818181818,"PRUNEMP"
2012,4,1,2009.875,1,8.075,11,1000,12,231,0.0066,"PRUNEMP"
2012,4,2,2009.875,1,8.075,10,11,10.5,232,0.0438,"PRUNEMP"
2012,4,3,2009.875,1,8.075,9.5,10,9.75,233,0.0776,"PRUNEMP"
2012,4,4,2009.875,1,8.075,9,9.5,9.25,234,0.1008,"PRUNEMP"
2012,4,5,2009.875,1,8.075,8.5,9,8.75,235,0.1834,"PRUNEMP"
2012,4,6,2009.875,1,8.075,8,8.5,8.25,236,0.1952,"PRUNEMP"
2012,4,7,2009.875,1,8.075,7.5,8,7.75,237,0.1786,"PRUNEMP"
2012,4,8,2009.875,1,8.075,7,7.5,7.25,238,0.116,"PRUNEMP"
2012,4,9,2009.875,1,8.075,6,7,6.5,239,0.056,"PRUNEMP"
2012,4,10,2009.875,1,8.075,-1000,6,5,240,0.042,"PRUNEMP"
2012,1,1,2010.125,1,8.075,11,1000,12,241,0.00555555555555555,"PRUNEMP"
2012,1,2,2010.125,1,8.075,10,11,10.5,242,0.0305555555555556,"PRUNEMP"
2012,1,3,2010.125,1,8.075,9.5,10,9.75,243,0.0657407407407407,"PRUNEMP"
2012,1,4,2010.125,1,8.075,9,9.5,9.25,244,0.154074074074074,"PRUNEMP"
2012,1,5,2010.125,1,8.075,8.5,9,8.75,245,0.172222222222222,"PRUNEMP"
2012,1,6,2010.125,1,8.075,8,8.5,8.25,246,0.198333333333333,"PRUNEMP"
2012,1,7,2010.125,1,8.075,7.5,8,7.75,247,0.17,"PRUNEMP"
2012,1,8,2010.125,1,8.075,7,7.5,7.25,248,0.122407407407407,"PRUNEMP"
2012,1,9,2010.125,1,8.075,6,7,6.5,249,0.0496296296296296,"PRUNEMP"
2012,1,10,2010.125,1,8.075,-1000,6,5,250,0.0314814814814815,"PRUNEMP"
2012,2,1,2010.375,1,8.075,11,1000,12,251,0.00142857142857143,"PRUNEMP"
2012,2,2,2010.375,1,8.075,10,11,10.5,252,0.0175,"PRUNEMP"
2012,2,3,2010.375,1,8.075,9.5,10,9.75,253,0.0314428571428571,"PRUNEMP"
2012,2,4,2010.375,1,8.075,9,9.5,9.25,254,0.1043,"PRUNEMP"
2012,2,5,2010.375,1,8.075,8.5,9,8.75,255,0.1681,"PRUNEMP"
2012,2,6,2010.375,1,8.075,8,8.5,8.25,256,0.227192857142857,"PRUNEMP"
2012,2,7,2010.375,1,8.075,7.5,8,7.75,257,0.197371428571429,"PRUNEMP"
2012,2,8,2010.375,1,8.075,7,7.5,7.25,258,0.118221428571429,"PRUNEMP"
2012,2,9,2010.375,1,8.075,6,7,6.5,259,0.0861142857142857,"PRUNEMP"
2012,2,10,2010.375,1,8.075,-1000,6,5,260,0.0483285714285714,"PRUNEMP"
2012,3,1,2010.625,1,8.075,11,1000,12,261,0.00343313636363636,"PRUNEMP"
2012,3,2,2010.625,1,8.075,10,11,10.5,262,0.0105427727272727,"PRUNEMP"
2012,3,3,2010.625,1,8.075,9.5,10,9.75,263,0.0613170909090909,"PRUNEMP"
2012,3,4,2010.625,1,8.075,9,9.5,9.25,264,0.171897727272727,"PRUNEMP"
2012,3,5,2010.625,1,8.075,8.5,9,8.75,265,0.203911772727273,"PRUNEMP"
2012,3,6,2010.625,1,8.075,8,8.5,8.25,266,0.223774318181818,"PRUNEMP"
2012,3,7,2010.625,1,8.075,7.5,8,7.75,267,0.189867318181818,"PRUNEMP"
2012,3,8,2010.625,1,8.075,7,7.5,7.25,268,0.0924984545454545,"PRUNEMP"
2012,3,9,2010.625,1,8.075,6,7,6.5,269,0.0359818181818182,"PRUNEMP"
2012,3,10,2010.625,1,8.075,-1000,6,5,270,0.007,"PRUNEMP"
2012,4,1,2010.875,1,8.075,11,1000,12,271,0.00518064516129032,"PRUNEMP"
2012,4,2,2010.875,1,8.075,10,11,10.5,272,0.0335483870967742,"PRUNEMP"
2012,4,3,2010.875,1,8.075,9.5,10,9.75,273,0.10618064516129,"PRUNEMP"
2012,4,4,2010.875,1,8.075,9,9.5,9.25,274,0.240351612903226,"PRUNEMP"
2012,4,5,2010.875,1,8.075,8.5,9,8.75,275,0.242235483870968,"PRUNEMP"
2012,4,6,2010.875,1,8.075,8,8.5,8.25,276,0.168212903225806,"PRUNEMP"
