"event","time","p","resolution","quarter","bin","Year","Quarter","realization","grpd_time_event"
1986.75,1985.625,0.282307692307692,1,3,1,NA,NA,NA,351
1986.75,1985.875,0.212727272727273,1,4,1,NA,NA,NA,355
1986.75,1986.125,0.153888888888889,1,1,1,NA,NA,NA,359
1986.75,1986.375,0.126190476190476,1,2,1,NA,NA,NA,363
1986.75,1986.625,0.23875,1,3,1,NA,NA,NA,367
1987,1985.875,0.239545454545455,1,4,1,NA,NA,NA,356
1987,1986.125,0.196,1,1,1,NA,NA,NA,360
1987,1986.375,0.151818181818182,1,2,1,NA,NA,NA,364
1987,1986.625,0.210555555555556,1,3,1,NA,NA,NA,368
1987,1986.875,0.134666666666667,1,4,1,NA,NA,NA,372
1987.25,1986.125,0.261904761904762,1,1,1,NA,NA,NA,361
1987.25,1986.375,0.205,1,2,1,NA,NA,NA,365
1987.25,1986.625,0.251052631578947,1,3,1,NA,NA,NA,369
1987.25,1986.875,0.234285714285714,1,4,1,NA,NA,NA,373
1987.25,1987.125,0.151,1,1,1,NA,NA,NA,377
1987.5,1986.375,0.265833333333333,1,2,1,NA,NA,NA,366
1987.5,1986.625,0.248947368421053,1,3,1,NA,NA,NA,370
1987.5,1986.875,0.190909090909091,1,4,1,NA,NA,NA,374
1987.5,1987.125,0.143076923076923,1,1,1,NA,NA,NA,378
1987.5,1987.375,0.205555555555556,1,2,1,NA,NA,NA,382
1987.75,1986.625,0.263684210526316,1,3,1,NA,NA,NA,371
1987.75,1986.875,0.189,1,4,1,NA,NA,NA,375
1987.75,1987.125,0.156,1,1,1,NA,NA,NA,379
1987.75,1987.375,0.173,1,2,1,NA,NA,NA,383
1987.75,1987.625,0.125454545454545,1,3,1,NA,NA,NA,387
1988,1986.875,0.1885,1,4,1,NA,NA,NA,376
1988,1987.125,0.193571428571429,1,1,1,NA,NA,NA,380
1988,1987.375,0.19,1,2,1,NA,NA,NA,384
1988,1987.625,0.112,1,3,1,NA,NA,NA,388
1988,1987.875,0.247,1,4,1,NA,NA,NA,392
1988.25,1987.125,0.252666666666667,1,1,1,NA,NA,NA,381
1988.25,1987.375,0.24375,1,2,1,NA,NA,NA,385
1988.25,1987.625,0.137058823529412,1,3,1,NA,NA,NA,389
1988.25,1987.875,0.313529411764706,1,4,1,NA,NA,NA,393
1988.25,1988.125,0.457692307692308,1,1,1,NA,NA,NA,397
1988.5,1987.375,0.305,1,2,1,NA,NA,NA,386
1988.5,1987.625,0.233333333333333,1,3,1,NA,NA,NA,390
1988.5,1987.875,0.316470588235294,1,4,1,NA,NA,NA,394
1988.5,1988.125,0.392857142857143,1,1,1,NA,NA,NA,398
1988.5,1988.375,0.146,1,2,1,NA,NA,NA,402
1988.75,1987.625,0.29,1,3,1,NA,NA,NA,391
1988.75,1987.875,0.243125,1,4,1,NA,NA,NA,395
1988.75,1988.125,0.26,1,1,1,NA,NA,NA,399
1988.75,1988.375,0.178461538461538,1,2,1,NA,NA,NA,403
1988.75,1988.625,0.11625,1,3,1,NA,NA,NA,407
1989,1987.875,0.296875,1,4,1,NA,NA,NA,396
1989,1988.125,0.277142857142857,1,1,1,NA,NA,NA,400
1989,1988.375,0.192,1,2,1,NA,NA,NA,404
1989,1988.625,0.131818181818182,1,3,1,NA,NA,NA,408
1989,1988.875,0.084,1,4,1,NA,NA,NA,412
1989.25,1988.125,0.3,1,1,1,NA,NA,NA,401
1989.25,1988.375,0.270666666666667,1,2,1,NA,NA,NA,405
1989.25,1988.625,0.158,1,3,1,NA,NA,NA,409
1989.25,1988.875,0.109166666666667,1,4,1,NA,NA,NA,413
1989.25,1989.125,0.102857142857143,1,1,1,NA,NA,NA,417
1989.5,1988.375,0.308666666666667,1,2,1,NA,NA,NA,406
1989.5,1988.625,0.232666666666667,1,3,1,NA,NA,NA,410
1989.5,1988.875,0.190769230769231,1,4,1,NA,NA,NA,414
1989.5,1989.125,0.165714285714286,1,1,1,NA,NA,NA,418
1989.5,1989.375,0.218181818181818,1,2,1,NA,NA,NA,422
1989.75,1988.625,0.274,1,3,1,NA,NA,NA,411
1989.75,1988.875,0.215384615384615,1,4,1,NA,NA,NA,415
