"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
69,0.291316661664706,0.270932196178431,0.0203844654862744,0.0736960581321799,2015.625,2015,1.56649823529412,0.0736283849842165,1.1,"PRCPCE"
70,0.0798817140498504,0.390180111400192,-0.310298397350341,0.0798809509284821,2015.625,2016,1.79912643181818,0.079802942187341,1.8,"PRCPCE"
71,0.188108324318182,0.202961296893939,-0.0148529725757576,0.088205397594123,2015.875,2015,1.41607424242424,0.088119259510535,1.1,"PRCPCE"
72,0.0938113027272727,0.303790363939394,-0.209979061212121,0.0892476861157025,2015.875,2016,1.73244545454545,0.0891605301722301,1.8,"PRCPCE"
73,0.105318890347222,0.291946179097222,-0.18662728875,0.0885050857156636,2016.125,2016,1.67033194444444,0.0884328366660997,1.8,"PRCPCE"
74,0.0888802654285714,0.371303686952381,-0.28242342152381,0.082963139477551,2016.125,2017,1.77692285714286,0.0828913720558576,1.7,"PRCPCE"
75,0.104368483648649,0.324719128963964,-0.220350645315315,0.0965338415741417,2016.375,2016,1.71148648648649,0.0964593555852728,1.8,"PRCPCE"
76,0.0999581010810811,0.43668343045045,-0.336725329369369,0.0763983402045288,2016.375,2017,1.85349189189189,0.0763393908679513,1.7,"PRCPCE"
77,0.0876850775,0.302960706813725,-0.215275629313725,0.0835403688408304,2016.625,2016,1.73562058823529,0.0834636559217847,1.8,"PRCPCE"
78,0.116685568823529,0.400564039019608,-0.283878470196078,0.0888633288235294,2016.625,2017,1.8668,0.0887817279706152,1.7,"PRCPCE"
79,0.045580692265625,0.207429177526042,-0.161848485260417,0.0455780971459961,2016.875,2016,1.8016109375,0.0455306693654071,1.8,"PRCPCE"
80,0.1080420215625,0.318822926354167,-0.210780904791667,0.0676824671777344,2016.875,2017,1.900896875,0.067612037971514,1.7,"PRCPCE"
81,0.136746175089286,0.33547517014881,-0.198728995059524,0.0845949493908163,2017.125,2017,1.92836642857143,0.0845217703688519,1.7,"PRCPCE"
82,0.0802823146428571,0.426649709166667,-0.34636739452381,0.0778471741346938,2017.125,2018,2.04934714285714,0.0777798322885566,2,"PRCPCE"
83,0.1099359375,0.297183407738095,-0.187247470238095,0.0472125239158163,2017.375,2017,1.95044642857143,0.0471477605085244,1.7,"PRCPCE"
84,0.0431868934482758,0.384142704252874,-0.340955810804598,0.0427700297027348,2017.375,2018,2.02041724137931,0.0427154760934201,2,"PRCPCE"
85,0.073686160078125,0.231261678463542,-0.157575518385417,0.0711426915014648,2017.625,2017,1.7504328125,0.071068661645584,1.7,"PRCPCE"
86,0.067913121953125,0.377021122838542,-0.309108000885417,0.0625998509545898,2017.625,2018,1.9271078125,0.0625347106310159,2,"PRCPCE"
87,0.0556132777419355,0.17602645344086,-0.120413175698925,0.0526899570239334,2017.875,2017,1.64593225806452,0.0526314126272401,1.7,"PRCPCE"
88,0.0616731194354838,0.306022176263441,-0.244349056827957,0.05143918644641,2017.875,2018,1.89883709677419,0.0513820317948028,2,"PRCPCE"
89,0.0464689020689655,0.254636557701149,-0.208167655632184,0.0463349813079667,2018.125,2018,1.9884275862069,0.0462758805665025,2,"PRCPCE"
90,0.251185249017857,0.372564185505952,-0.121378936488095,0.0555733347034438,2018.125,2019,2.04228035714286,0.0554971024199,1.6,"PRCPCE"
91,0.0717855344827586,0.233800959770115,-0.162015425287356,0.0520307473246135,2018.375,2018,2.14055172413793,0.051964381575475,2,"PRCPCE"
92,0.353950803214286,0.364151934880952,-0.0102011316666668,0.0504796678954081,2018.375,2019,2.15088214285714,0.0504104228091319,1.6,"PRCPCE"
93,0.0556660063333333,0.207250660333333,-0.151584654,0.0348848617888888,2018.625,2018,2.14415666666667,0.0348433815727309,2,"PRCPCE"
94,0.417749881465517,0.356072388649425,0.0616774928160918,0.0521315787752676,2018.625,2019,2.20466379310345,0.0520650844145848,1.6,"PRCPCE"
