"p","trueBinSmoothed","pAgg","trueBinSmoothedAgg"
0.107998,0.137433599782851,NA,NA
0.073999,0.101613560598679,NA,NA
0.470977,0.353358164552119,NA,NA
0.395,0.32835112292297,NA,NA
0.058999,0.084758136207238,NA,NA
0.748984,0.455609361932059,NA,NA
0.246992,0.242883951759377,NA,NA
0.857969,0.527257061556533,NA,NA
0.130999,0.157930562769149,NA,NA
0.733984,0.449612859167606,NA,NA
0.262969,0.251881778883007,NA,NA
0.675,0.433550531426486,NA,NA
0.120999,0.149226764496495,NA,NA
0.355,0.308576874624831,NA,NA
0.591992,0.404499267492513,NA,NA
0.177969,0.197327209193479,NA,NA
0.691992,0.437372542097875,NA,NA
0.266992,0.254193391500343,NA,NA
0.098999,0.12865977947001,NA,NA
0.645,0.425714854777649,NA,NA
0.172969,0.193262319195076,NA,NA
1e-04,0.0198207169566314,NA,NA
2e-04,0.0199201198679905,NA,NA
3e-04,0.0200195239721827,NA,NA
4e-04,0.0201189298661593,NA,NA
0.598,0.40714702844512,NA,NA
7e-04,0.0204171642304833,NA,NA
0.548,0.383968917006392,NA,NA
0.325,0.290429088804833,NA,NA
0.305,0.277463559410032,NA,NA
0.225,0.230256194826277,NA,NA
0.68,0.434663806115135,NA,NA
0.71,0.441914614840848,NA,NA
0.175,0.194920032839965,NA,NA
0.525,0.372497593068779,NA,NA
0.425,0.340251867141448,NA,NA
0.81,0.490826676861698,NA,NA
0.021505,0.0419039553816981,NA,NA
0.011201,0.0309888342039628,NA,NA
0.022401,0.0428830802314997,NA,NA
0.064516,0.0909843241630398,NA,NA
0.193548,0.209481648558069,NA,NA
0.301075,0.274930811312464,NA,NA
0.235215,0.236228405709457,NA,NA
0.086022,0.114916482029618,NA,NA
0.053763,0.0788100643441136,NA,NA
0.010753,0.0305283399552546,NA,NA
0.019802,0.0400560963237417,NA,NA
0.009901,0.0296556963443773,NA,NA
0.039604,0.0624122473534954,NA,NA
0.079208,0.107408421672549,NA,NA
0.158416,0.181202018371228,NA,NA
0.247525,0.243182155208217,NA,NA
0.277228,0.260199161790143,NA,NA
0.09901,0.128670929745554,NA,NA
0.059406,0.0852185789936665,NA,NA
0.048,0.0721821677986763,NA,NA
0.029,0.0502283557496648,NA,NA
0.067,0.0937777452759055,NA,NA
0.247,0.242888428089905,NA,NA
0.0138,0.0336829385148713,NA,NA
0.0611,0.0871329310598512,NA,NA
0.2083,0.219830979982983,NA,NA
0.4166,0.337148866407812,NA,NA
0.0486,0.0728770684518237,NA,NA
0.0291,0.0503413363199033,NA,NA
0.064,0.0904032933399871,NA,NA
0.051,0.0756455117404183,NA,NA
0.205,0.217629649445136,NA,NA
0.256,0.247931764497423,NA,NA
0.154,0.17749779062998,NA,NA
0.013,0.032849528250225,NA,NA
0.0153,0.0352556356768322,NA,NA
0.0307,0.0521551295472534,NA,NA
0.0614,0.0874716341774198,NA,NA
0.1228,0.150810015004993,NA,NA
0.2457,0.242160727814978,NA,NA
0.2703,0.256114238815482,NA,NA
