"grpd_time_event","mean_sqDevFromRealization","mean_VarPredicted","mean_error","mean_disagreementEV","mean_time","event","meanEV","mean_disagreementEVMinusPersoni","mean_realization","dataSet"
36,0.230864205277778,0.531835811388889,-0.300971606111111,0.227140832677469,2011.375,2012,1.88798055555556,0.226955411589569,1.949,"PRCCPI"
37,0.2528566698375,0.301001635729167,-0.0481449658916668,0.219505464052734,2011.625,2011,1.991696875,0.219277050458507,2.17432,"PRCCPI"
38,0.308169649112903,0.444097785944892,-0.135928136831989,0.306591893834547,2011.625,2012,1.90927903225806,0.306251236174731,1.949,"PRCCPI"
39,0.14161346287619,0.154299583333333,-0.0126861204571429,0.13672825170068,2011.875,2011,2.24421428571429,0.136646914251721,2.17432,"PRCCPI"
40,0.22445724152439,0.357749415386179,-0.133292173861789,0.224117288875669,2011.875,2012,1.93056219512195,0.223977215570122,1.949,"PRCCPI"
41,0.200376234391892,0.390569383626126,-0.190193149234234,0.199760859211103,2012.125,2012,1.97380675675676,0.199606722745662,1.949,"PRCCPI"
42,0.4048889775,0.619123048809524,-0.214234071309524,0.244688915,2012.125,2013,2.1234,0.244477246388408,1.72315,"PRCCPI"
43,0.0973584288636363,0.281109346893939,-0.183750918030303,0.085117688640955,2012.375,2012,2.05963787878788,0.0850345658981416,1.949,"PRCCPI"
44,0.285419248671875,0.535241924401042,-0.249822675729167,0.134189406813965,2012.375,2013,2.1120328125,0.134049771635178,1.72315,"PRCCPI"
45,0.0935581946428571,0.261923141071429,-0.168364946428571,0.0785501945918367,2012.625,2012,2.07150714285714,0.0785034663380641,1.949,"PRCCPI"
46,0.298221415503049,0.376273051529472,-0.0780516360264228,0.177204399878049,2012.625,2013,2.071025,0.177093647128125,1.72315,"PRCCPI"
47,0.0541278544852941,0.14900294747549,-0.0948750929901961,0.0454840507634083,2012.875,2012,2.04197205882353,0.0454422839582996,1.949,"PRCCPI"
48,0.207866648970588,0.272524352254902,-0.0646577032843137,0.0995443513581314,2012.875,2013,2.05227352941176,0.0994529424037163,1.72315,"PRCCPI"
49,0.15288589275641,0.258444452307692,-0.105558559551282,0.0966007635634451,2013.125,2013,1.96039487179487,0.0965338655277363,1.72315,"PRCCPI"
50,0.245504582435897,0.325509700897436,-0.0800051184615385,0.117491081817883,2013.125,2014,2.08488974358974,0.117409716802774,1.7271,"PRCCPI"
51,0.0970741122142857,0.227413436380952,-0.130339324166667,0.0612650379918368,2013.375,2013,1.91238285714286,0.0612120405541275,1.72315,"PRCCPI"
52,0.193235848333333,0.312987746111111,-0.119751897777778,0.064231163117284,2013.375,2014,2.08627222222222,0.0641787295147392,1.7271,"PRCCPI"
53,0.0419536957638889,0.234837720763889,-0.192884025,0.0380833006076389,2013.625,2013,1.7853625,0.0380522121989796,1.72315,"PRCCPI"
54,0.110610253055555,0.3388994375,-0.228289184444445,0.0653488724922839,2013.625,2014,1.93984722222222,0.0652955264739229,1.7271,"PRCCPI"
55,0.0524169576973684,0.179409013969298,-0.12699205627193,0.0522823671693214,2013.875,2013,1.73475131578947,0.0522441769814694,1.72315,"PRCCPI"
56,0.148624487631579,0.317257002192982,-0.168632514561403,0.104450403912742,2013.875,2014,1.93727631578947,0.104374107050863,1.7271,"PRCCPI"
57,0.0987529113656666,0.333242363116385,-0.234489451750718,0.0720392635898869,2014.125,2014,1.8905431025641,0.0719893749031903,1.7271,"PRCCPI"
58,0.100674360098658,0.403911810152219,-0.303237450053561,0.100270395586851,2014.125,2015,2.01429886842105,0.100197152054647,1.9942,"PRCCPI"
59,0.0669492447435897,0.28833700474359,-0.22138776,0.0504079871433267,2014.375,2014,1.85571282051282,0.0503730785649726,1.7271,"PRCCPI"
60,0.0811109828205128,0.389035059230769,-0.307924076410256,0.0802766618145957,2014.375,2015,1.96531538461538,0.0802210685584914,1.9942,"PRCCPI"
61,0.138440880320513,0.266299169935897,-0.127858289615385,0.0459196195956607,2014.625,2014,2.03127307692308,0.045887819305082,1.7271,"PRCCPI"
62,0.09012166875,0.390889918916667,-0.300768250166667,0.08181380199375,2014.625,2015,2.0853475,0.0817600125118343,1.9942,"PRCCPI"
63,0.0470638301388889,0.204306750972222,-0.157242920833333,0.0410269717978395,2014.875,2014,1.80479722222222,0.0409934803922902,1.7271,"PRCCPI"
64,0.0613856784027778,0.391784071597222,-0.330398393194444,0.0609849558545525,2014.875,2015,2.01421805555556,0.0609351722171202,1.9942,"PRCCPI"
65,0.216832855075758,0.392371455227273,-0.175538600151515,0.123858142023124,2015.125,2015,1.68961094224924,0.123736749003416,1.9942,"PRCCPI"
66,0.118139623327273,0.479048670151515,-0.360909046824242,0.0694955831450872,2015.125,2016,1.96180606060606,0.0694277163646721,2.18236,"PRCCPI"
67,0.225121633963816,0.325080682702851,-0.0999590487390351,0.158004164534713,2015.375,2015,1.73512960526316,0.157888748782679,1.9942,"PRCCPI"
68,0.129023606442105,0.438702113508772,-0.309678507066667,0.0816752207479224,2015.375,2016,1.96476315789474,0.0816155602506632,2.18236,"PRCCPI"
69,0.107304440358709,0.289317839318768,-0.182013398960059,0.0973346418452893,2015.625,2015,1.89435112162162,0.0972595379549765,1.9942,"PRCCPI"
70,0.0993135143698351,0.433751525836666,-0.334438011466831,0.0833612191765951,2015.625,2016,2.05605760416667,0.083293169201757,2.18236,"PRCCPI"
71,0.120585288888889,0.197532326666667,-0.0769470377777778,0.0976414547839506,2015.875,2015,1.84272777777778,0.0975617474739229,1.9942,"PRCCPI"
72,0.0635744095583334,0.324581230486111,-0.261006820927778,0.0445724763020834,2015.875,2016,2.0445125,0.0445360906071429,2.18236,"PRCCPI"
73,0.143660001167568,0.308534223153153,-0.164874221985586,0.0749491394886779,2016.125,2016,1.92023243243243,0.0748913083625292,2.18236,"PRCCPI"
74,0.135445603586111,0.385625397986111,-0.2501797944,0.0693253382619599,2016.125,2017,2.01294861111111,0.069268746149093,1.75581,"PRCCPI"
75,0.0928362874277027,0.330866567595721,-0.238030280168018,0.0678859931135865,2016.375,2016,2.02440337837838,0.0678336119460606,2.18236,"PRCCPI"
76,0.178524812343243,0.424663580315315,-0.246138767972072,0.078707582633309,2016.375,2017,2.07174864864865,0.0786468514738697,1.75581,"PRCCPI"
77,0.0513085155571429,0.294144652309524,-0.242836136752381,0.0451747169265306,2016.625,2016,2.10404142857143,0.0451356384516807,2.18236,"PRCCPI"
78,0.195044505357143,0.429512942666667,-0.234468437309524,0.0642393164571429,2016.625,2017,2.11748,0.0641837461141869,1.75581,"PRCCPI"
79,0.2036295747,0.191914806595238,0.0117147681047619,0.186132710110204,2016.875,2016,2.05008428571429,0.185971695655091,2.18236,"PRCCPI"
80,0.2119702577,0.329116501238095,-0.117146243538095,0.0598178817632653,2016.875,2017,2.14587714285714,0.0597661361908057,1.75581,"PRCCPI"
81,0.233755806375,0.326773894577381,-0.0930180882023811,0.0482207047989796,2017.125,2017,2.18654785714286,0.0481789913865237,1.75581,"PRCCPI"
82,0.0741820535892857,0.42382751664881,-0.349645463059524,0.0737249797316327,2017.125,2018,2.21387928571429,0.0736612037976088,2.1925,"PRCCPI"
